,Violence against the person ratio,Sexual offences ratio,Robbery ratio,Theft offences ratio,Criminal damage and arson ratio,Drug offences ratio,Other Crime Ratio,Total Employee All (thousands),Male life expectancy at birth (2012/2020)4,Female life expectancy at birth (2020)4,Median,Lower quartile,total_hoseholds_projected_2020,Year 2020: Households with dependent children ratio,Year 2020: One person households: Female ratio,Year 2020: One person households: Male ratio,pop_ratio_under_10,pop_ratio_teenager,pop_ratio_20_39,pop_ratio_40_60,pop_ratio_60_80,pop_ratio_80_90+,POP All ages,Total area as at 31 December 2020 (Hectares),median_houses_2020,median_earning_2020,ratio_by_medians_2020,lower_quatile_houses_2020,lower_quatile_earning_2020,ratio_by_lower_quatile_2020,Total_Threaten_or_is_Homeless,A_B_property_counts,C_D_property_counts,E_F_property_counts,G_H_property_counts,Taxi_only_licensed_drivers,Total_licensed_vehicles,total_drivers,Retail,Education,Health,"Arts, entertainment, recreation & other services"
81,0.4155946525,0.0389450105,0.012708484,0.24593204800000001,0.1157372875,0.046856193000000004,0.124226324,134.1,76.7,80.7,725.0,625.0,115311.0,0.418706879,0.258973134,0.322319986,0.132780352,0.113712757,0.335607182,0.230954293,0.15002836,0.036917057,262697.0,9720.0,177000.0,29439.0,6.01,136000.0,21094.0,6.45,466.0,88390.0,29320.0,5120.0,960.0,122.0,905.0,1027.0,1030.0,160.0,390.0,515.0
82,0.393511199,0.039064559,0.004216074,0.288372859,0.127898551,0.04127141,0.105665349,24.1,80.0,83.4,650.0,550.0,24891.0,0.41912205,0.335521976,0.245355974,0.091337252,0.102482518,0.185838322,0.270416509,0.275971166,0.073954233,55629.0,150660.0,229950.0,26318.0,8.74,175500.0,20871.0,8.41,61.0,8900.0,10700.0,5690.0,1290.0,0.0,92.0,92.0,225.0,40.0,75.0,255.0
83,0.364938608,0.037517053,0.000682128,0.302864939,0.118690314,0.041609823,0.133697135,14.8,81.4,85.9,725.0,600.0,17003.0,0.433247111,0.320298804,0.246454085,0.092919261,0.118094673,0.197055045,0.270135389,0.250938828,0.070856804,40476.0,39370.0,304000.0,32577.0,9.33,210500.0,26530.0,7.93,25.0,6430.0,5800.0,4020.0,1460.0,0.0,73.0,73.0,165.0,35.0,55.0,125.0
84,0.298089904,0.027373259,0.006951027,0.362085308,0.108430274,0.054315669,0.14275456,62.2,78.2,82.9,672.5,572.5,58325.5,0.3723929035,0.3107093195,0.316897777,0.116231765,0.120568144,0.349196375,0.22321385,0.150901133,0.039888733,369202.0,19825.0,215000.0,28194.0,7.63,163250.0,20858.0,7.83,388.0,23780.0,12460.0,4035.0,670.0,0.0,2023.0,2023.0,325.0,67.5,120.0,1047.5
85,0.348370927,0.029861889,0.005492455,0.305871061,0.110968912,0.053378126,0.146056631,62.2,78.0,82.4,559.0,485.0,58325.5,0.3723929035,0.3107093195,0.316897777,0.103429955,0.11163881,0.286721852,0.242230181,0.20127513,0.054704072,246563.0,18225.0,155000.0,27480.0,5.64,115000.0,21208.0,5.42,484.0,82685.0,25180.0,6730.0,755.0,0.0,919.0,919.0,645.0,155.0,345.0,472.5
86,0.431747477,0.034904014,0.004628576,0.221412854,0.130738296,0.038394415,0.138174368,62.2,78.5,81.8,577.5,492.5,58325.5,0.3723929035,0.3107093195,0.316897777,0.115644409,0.117062952,0.23764654,0.265400022,0.212553747,0.05169233,136055.0,16030.0,155000.0,28990.0,5.35,117000.0,21429.0,5.46,90.5,38260.0,14655.0,3270.0,575.0,57.0,444.0,501.0,285.0,57.5,137.5,237.5
87,0.375191131,0.033639144,0.012041284,0.305937819,0.109136086,0.047655454,0.116399083,113.7,79.5,83.0,725.0,650.0,95299.0,0.471511639,0.25864397,0.269844391,0.130885988,0.116483684,0.245776894,0.284268287,0.179082111,0.043503035,222881.0,23010.0,227500.0,31580.0,7.2,176625.0,23768.0,7.43,340.0,42410.0,42050.0,12960.0,1470.0,122.0,1209.0,1331.0,425.0,140.0,255.0,410.0
88,0.321479182,0.02807207,0.013158783,0.381469735,0.100006748,0.032863216,0.122950267,78.5,80.2,83.9,800.0,675.0,71189.0,0.505359454,0.259157861,0.235482685,0.133644747,0.122218597,0.234213193,0.273454808,0.185549011,0.050919645,174687.0,47640.0,281625.0,34778.0,8.1,221000.0,25242.0,8.76,266.0,29130.0,31230.0,13920.0,3380.0,39.0,533.0,572.0,540.0,130.0,280.0,470.0
89,0.406806978,0.032612818,0.005309063,0.289343951,0.136518771,0.0221843,0.107224118,38.1,76.1,80.1,450.0,390.0,38342.0,0.423168938,0.283591061,0.293240001,0.132543875,0.121026594,0.247213019,0.252003492,0.200696186,0.046516834,89344.0,11070.0,97500.0,25987.0,3.75,61000.0,19179.0,3.18,125.0,31150.0,9140.0,1600.0,150.0,35.0,357.0,392.0,300.0,30.0,125.0,170.0
90,0.413162101,0.039684727,0.003362178,0.266824671,0.151849198,0.030645428,0.094471697,18.1,81.9,85.0,725.0,610.0,21139.0,0.417701405,0.337017072,0.245281523,0.098446408,0.106295621,0.199763815,0.267451414,0.2557490305,0.0722937115,125292.5,60630.0,247000.0,31965.5,7.744999999999999,191250.0,22827.5,8.375,-13.0,20900.0,18390.0,7950.0,1505.0,0.0,205.5,205.5,305.0,75.0,230.0,275.0
